id,name,artist_popularity,followers,genre
02JpSGkpnasAgyRHkou01C,Eternal Damnation,3,422,
02jzHd5qpvYVZAYBGVjkdC,Divnitic R,2,315,lithuanian edm
02k0Lp7WPTzkLbJsPWNLc2,xójira,43,17189,
02kJSzxNuaWGqwubyUba0Z,G-Eazy,74,5234548,indie pop rap
02KwkmClMiogIwet6svjTZ,Squibb,0,35,
02ljaKmLn5QT8zSPw2XX10,The Land Before Tim,0,341,
02m6JlsBWmb1KUabv1PcoI,C_BOX,0,4,
02MmG4YpRUFlFG70cNQSkW,IA REMIX,27,1069,
02mwHPVsVX3VIONCVju9lN,KyngTwizzy,0,0,
02Nbktg6lCJiazPM6YYTMz,Miguel Mateos,49,662407,latin alternative
02nhzAGYQvpoFbnG9RKmYG,Anatomy Juice,0,11,
02nS5SO7tc0WmnzfnVzEG3,Lucrecia Duran,6,627,
02nTp5X8ikwhkka6R08Def,Moctur,0,7,
02Ou4JLObfX92Z4yyN9E0K,Mommy's Baddie,0,4,
02PRBobL1Ojpx6DO1kekfG,A'mare Richardson,0,8,
02QaTKGbI6W9D80tPSqJ6i,Sly Chaos,30,1585,nz electronic
02qbCuAvO0Mj0cuZDKujF3,Buddy Cole,8,275,space age pop
02rhhQwvQdmyOHSRD3VP8B,KinipelasAcapellas808,0,12,
02RhvXTIhg46MyWF8yN6GG,Mc DR,38,116482,funk consciente
02rXUL5CtmXAcF5H7y5wIW,Luca Cassani,15,1489,funky tech house
02sctZ2SFfmUoImGl8YnWV,LIL MOUR,0,13,
02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats,57,609001,indie folk
02sIkdFqQConEBUHCcDRPw,4ep YungMuny,0,6,
02SPjHOCvLX8lENebijpOq,Florida Middle School Honors Band,4,20,school ensemble
02SxUuOdPsMPCQWSTG6Wi2,DegreeZero,1,1799,
02TBPyi3AhELeEcmJ3VWzU,Jayy Babyy,5,6,
02Th0zvHMJZ9LYWTcJmBFs,Lil hyns,0,6,
02TJY8vnQzOHFbuWSIKMWk,Trayce Chapman,21,3346,denver rap
02tQteDmBybpQ0RL8N5Tp8,Joyce Collins Trio,0,50,
02tZNIkn8tjNQ5RwaxpCim,Mushmellow,22,5277,
02U68BQCUSYgr9eTBWRHLK,Fake Pictures,27,1717,german dance
02UIRHflc04cDgQXYTfKML,Swayze Anthony,0,5,
02UM8I0bECyUTpPbb4qk56,Jesse JaYmez,0,40,san antonio rap
02uPe16VFxPaiueQsPEDkE,The Album Leaf,44,159511,american post-rock
02uQgstVhkW3LZqLXx0uxF,B.Y.D.S. Ric James,0,2,
02VSENWD6CwcM2rWDFPsxV,Luca Lucero,26,1753,
02VthzO4Cde9DFB0Up91Ka,Navie D,26,4011,dark clubbing
02We3mH5NBTyCnD2FTnZaR,Greg Monti,0,1324,
02WJFnVnlWdeUEIKlGXD48,TWICE,5,67,
02wrovsROEQpMXNTxk8uHI,Lazy3x,45,22065,necrotrap
02wzoafgBdrDH6lPPWdJai,Amir rabiei,12,270,
02y1FNaYtg9JcHhAwp4sXi,Gaaaabxs,8,33,
02Yh3SVeSpz8p0mkmDzFm1,G Carvajal,0,8,
02yXkZK82ff4eyu0tA6g7L,Houston Jones,0,168,
02zZvwbbma78yTdQ1p2tey,Los Jaibos,30,38538,bolero mexicano
030EdooV1lKjXe2K3oR7ki,Alishan,0,8,
030GhTSK1Zt2pUNRXFxhcu,Jaded Aged Young,0,10,
030ma4QtsnydUwd4M2qXWt,Brittni Paiva,27,3136,slack-key guitar
030NMqDYzc12NdOb4MEQyU,Infinite Tgm,9,362,
031auTCIB9kR2oMxeEkMjl,ZZanu,13,1032,
031RVClqaUebiDDv8bSDvh,Pish,22,8003,bergen indie
032PTKNjK5wizICJDFersE,Griot B,3,687,
033T7jGpy9cXYDDVZRSuQ6,Alessia Solci,11,172,
0340xtX3xw8k4spNidlo5h,Angel.i.n.o,3,52,
034t27obQmjdViDNTqAQYD,Pat Hinds Guitar,0,72,
03546gvcoicKs6C10YdXvk,Anysia Kym,17,1630,
035fRqG7d7lLKWpOViEgZa,OTS Mar,0,64,
035qI6P2vXUzKGIMX7Cye7,Larry cartier,0,37,
035sgcdGvnslbatB2jPnVj,Joyce Onyango,2,770,
036D78hVSJAwZkZ5BCGNbY,Blink,0,28,
036jCnrViCIWMxziUftsYF,Kasie Aponte,6,2146,
037FMjP9IE9v7BE8d6OpP3,Angam,7,3123,
037rBLoO7AE0TsEAkstCyJ,Karp,12,353,
0399oiMcmbOzzsYQDNYqxn,Problem,51,269221,hyphy
03a1bSwiPlRArDxduoQBRx,Funk It,0,110,
03Avx5uX73mr7MtZZzkzls,I love you Orchestra Swing Style,30,14540,japanese jazz fusion
03AWtGyocUoKU5OQv4IUjF,RAV93,1,37,
03bcF3vFRGN6qJsv2REBvI,Rosalia,8,2126,
03Bpv3LlSczjxbiJF4XXts,DragonWulf,12,992,
03BWUMpkLVCRUZY8g7C4kF,Bronco,0,24,
03CAG5vKJtNk7Rwx57BK3N,Pop Goes Crazy,0,10,
03CCSAOkkfcpJmKwWfV9wA,Jimi Hocking,0,379,
03cWGR3NUnQNmsaQQSEesx,Britney Heald,4,137,
03CyIctfSRW7QpoJJJy98y,Kaiden Williams,1,0,
03eAVAQJZGCvnSkKBNevDW,WiLLY DJAY,22,706,remix brasileiro
03Ejz4OkKzGnTRKZE3KwRN,ToppDogg,24,152805,k-pop
03Enzet8KLMkjdeQnbqbmn,Pacho El Antifeka,48,343102,reggaeton flow
03eUAnF84LCdL2WvEs85v6,Angga Sky,22,272,
03eZ4y8baXNaR68hpkkDoq,Amuly,47,143886,romanian trap
03fxHj65v0byehq2IqL8S3,Andi Ivins,0,21,
03gcR92d5oYj1hmV8FY5Bc,Cover Crew,5,1543,fake
03gFobWkjdVh0EzxAXX6Lf,D.West,0,14,
03gMsWBnlCYwx7ivVnO0WG,Joscho Stephan,29,23658,gypsy jazz
03gtYqufTfcihseHH6YQu9,The Casey Sisters,0,14,
03Gx9uZRqczPokvTdEP8Ru,Yung Pj,0,15,
03gYBRh1ngdHPOJv8TD5Bn,Fran London feat. Rihanna,0,632,
03H3gcpif0GufJE8ybbcpn,Mellodees,41,4108,children's music
03hCWTp5lKJBASrf2GhdJV,Platinum,3,254,
03HEHGJoLPdARs4nrtUidr,Junior Kimbrough,37,68978,acoustic blues
03hHfoMc0383zghm1GfRmR,Mistaga,0,8,
03hITrVrWOExtoyrcHWi2K,Rayan,1,146,
03hJlj4yvt3OwUrn74HFQw,ogiofthemoon,1,47,
03HmbNfPUCurmGnU4NNUhF,Blackpocket,5,726,afrofuturism
03HSlc4kHszLVrMK1RKt4W,Sophii Negus,0,53,
03IeLv0g2e9Xyim1alncvQ,Red Beat,0,110,
03ik5liVrQD9I5vYBpyX8i,Shawn Lov,3,207,
